id,nombre,fechaInicio,fechaFin,cuatrienio_id,activo,usercreated,usermodifed,created_at,updated_at
1,Primera,20/07/1994,20/06/1995,5,1,NA,NA,NA,NA
2,Segunda,20/07/1995,20/06/1996,5,1,NA,NA,NA,NA
3,Tercera,20/07/1996,20/06/1997,5,1,NA,NA,NA,NA
4,Cuarta,20/07/1997,20/06/1998,5,1,NA,NA,NA,NA
5,Primera,20/07/1998,20/06/1999,1,1,NA,NA,NA,NA
6,Segunda,20/07/1999,20/06/2000,1,1,NA,NA,NA,NA
7,Tercera,20/07/2000,20/06/2001,1,1,NA,NA,NA,NA
8,Cuarta,20/07/2001,20/06/2002,1,1,NA,NA,NA,NA
9,Primera,20/07/2002,20/06/2003,4,1,NA,NA,NA,NA
10,Segunda,20/07/2003,20/06/2004,4,1,NA,NA,NA,NA
11,Tercera,20/07/2004,20/06/2005,4,1,NA,NA,NA,NA
12,Cuarta,20/07/2005,20/06/2006,4,1,NA,NA,NA,NA
13,Primera,20/07/2006,20/06/2007,2,1,NA,NA,NA,NA
14,Segunda,20/07/2007,20/06/2008,2,1,NA,NA,NA,NA
15,Tercera,20/07/2008,20/06/2009,2,1,NA,NA,NA,NA
16,Cuarta,20/07/2009,20/06/2010,2,1,NA,NA,NA,NA
18,Segunda,20/07/2011,20/06/2012,6,1,NA,NA,NA,NA
19,Tercera,20/07/2012,20/06/2013,6,1,NA,NA,NA,NA
20,Cuarta,20/07/2013,20/06/2014,6,1,NA,NA,NA,NA
17,Primera,20/07/2010,20/06/2011,6,1,NA,NA,NA,NA
21,Primera,20/07/2014,19/07/2015,7,1,NA,NA,NA,NA
22,Segunda,20/07/2015,19/07/2016,7,1,NA,NA,NA,NA
23,Tercera,20/07/2016,19/07/2017,7,1,NA,NA,NA,NA
24,Cuarta,20/07/2017,19/07/2018,7,1,NA,NA,NA,NA
25,Primera,20/07/2018,19/07/2019,8,1,NA,NA,NA,NA
26,Segunda,20/07/2019,19/07/2020,8,1,NA,NA,NA,NA
27,Tercera,20/07/2020,19/07/2021,8,1,NA,NA,NA,NA
28,Cuarta,20/07/2021,19/07/2022,8,1,NA,NA,NA,NA
